tanggal_libur,keterangan_libur
2024-01-01,Tahun Baru 2024 Masehi
2024-02-08,Isra Miâ€™raj Nabi Muhammad SAW
2024-02-10,Tahun Baru Imlek 2575 Kongzili
2024-03-11,Hari Suci Nyepi Tahun Baru Saka 1946
2024-03-29,Wafat Isa Almasih
2024-03-31,Hari Paskah
2024-04-10,Hari Raya Idul Fitri 1445 Hijriah
2024-04-11,Hari Raya Idul Fitri 1445 Hijriah
2024-05-01,Hari Buruh Internasional
2024-05-09,Kenaikan Isa Almasih
2024-05-23,Hari Raya Waisak 2568
2024-06-01,Hari Lahir Pancasila
2024-06-17,Hari Raya Idul Adha 1445 Hijriah
2024-07-07,Tahun Baru Islam 1446 Hijriah
2024-08-17,Hari Kemerdekaan RI
2024-09-16,Maulid Nabi Muhammad SAW
2024-12-25,Hari Raya Natal
